Gen Loop Flow (GPM)	HHW Loop Flow (GPM)	Gen Loop Inlet Temp (°F)	HHW Loop Inlet Temp (°F)	Gen Loop Outlet Temp (°F)	HHW Loop Outlet Temp (°F)	Gen Loop DP (psi)	HHW Loop DP (psi)	Case
360	1300	200	155	155	167.4	1.16	14.12	1
360	1300	200	165	165	174.7	1.16	14.06	2
360	1300	210	155	155	170.2	1.16	14.11	3
360	1300	210	165	165	177.4	1.15	14.06	4
360	1300	220	155	155	172.9	1.15	14.1	5
360	1300	220	165	165	180.2	1.15	14.05	6
360	1500	200	155	155	165.8	1.16	18.63	7
360	1500	200	165	165	173.4	1.16	18.57	8
360	1500	210	155	155	168.1	1.16	18.62	9
360	1500	210	165	165	175.8	1.15	18.57	10
360	1500	220	155	155	170.5	1.15	18.62	11
360	1500	220	165	165	178.1	1.15	18.56	12
720	1300	200	155	155.1	179.8	4.5	14.08	13
720	1300	200	165	165.1	184.3	4.48	14.03	14
720	1300	210	155	155.1	185.3	4.48	14.06	15
720	1300	210	165	165.1	189.8	4.47	14.01	16
720	1300	220	155	155.1	190.8	4.47	14.04	17
720	1300	220	165	165.1	195.3	4.45	14	18
720	1500	200	155	155.1	176.5	4.5	18.59	19
720	1500	200	165	165.1	181.7	4.48	18.54	20
720	1500	210	155	155.1	181.3	4.48	18.57	21
720	1500	210	165	165.1	186.5	4.47	18.52	22
720	1500	220	155	155.1	186	4.47	18.56	23
720	1500	220	165	165.1	191.3	4.45	18.51	24
1080	1300	200	155	156	191.5	9.9	14.03	25
1080	1300	200	165	165.7	193.4	9.87	14	26
1080	1300	210	155	156.2	199.7	9.88	14.01	27
1080	1300	210	165	165.9	201.6	9.86	13.97	28
1080	1300	220	155	156.3	207.8	9.86	13.98	29
1080	1300	220	165	166	209.8	9.84	13.95	30
1080	1500	200	155	155.1	187.3	9.9	18.55	31
1080	1500	200	165	165.1	190.1	9.88	18.51	32
1080	1500	210	155	155.1	194.5	9.88	18.52	33
1080	1500	210	165	165.1	197.3	9.86	18.48	34
1080	1500	220	155	155.1	201.7	9.86	18.49	35
1080	1500	220	165	165.1	204.5	9.84	18.46	36
